,barrio,comuna_numero,codigo_postal
0,Recoleta,2,1000
1,Recoleta,2, 1001
2,Recoleta,2, 1011
3,Recoleta,2, 1012
4,Recoleta,2, 1013
5,Recoleta,2, 1013
6,Recoleta,2, 1014
7,Recoleta,2, 1015
8,Recoleta,2, 1016
9,Recoleta,2, 1017
10,Recoleta,2, 1018
11,Recoleta,2, 1019
12,Recoleta,2, 1020
13,Recoleta,2, 1021
14,Recoleta,2, 1022
15,Recoleta,2, 1023
16,Recoleta,2, 1024
17,Recoleta,2, 1025
18,Recoleta,2, 1026
19,Recoleta,2, 1055
20,Recoleta,2, 1057
21,Recoleta,2, 1059
22,Recoleta,2, 1060
23,Recoleta,2, 1061
24,Recoleta,2, 1062
25,Recoleta,2, 1091
26,Recoleta,2, 1108
27,Recoleta,2, 1111
28,Recoleta,2, 1112
29,Recoleta,2, 1114
30,Recoleta,2, 1115
31,Recoleta,2, 1116
32,Recoleta,2, 1117
33,Recoleta,2, 1118
34,Recoleta,2, 1119
35,Recoleta,2, 1120
36,Recoleta,2, 1121
37,Recoleta,2, 1122
38,Recoleta,2, 1123
39,Recoleta,2, 1124
40,Recoleta,2, 1125
41,Recoleta,2, 1126
42,Recoleta,2, 1127
43,Recoleta,2, 1128
44,Recoleta,2, 1129
45,Recoleta,2, 1170
46,Recoleta,2, 1171
47,Recoleta,2, 1172
48,Recoleta,2, 1173
49,Recoleta,2, 1174
50,Recoleta,2, 1175
51,Recoleta,2, 1180
52,Recoleta,2, 1186
53,Recoleta,2, 1187
54,Recoleta,2, 1188
55,Recoleta,2, 1215
56,Recoleta,2, 1414
57,Recoleta,2, 1425
58,Palermo,14,1004
59,Palermo,14, 1007
60,Palermo,14, 1019
61,Palermo,14, 1055
62,Palermo,14, 1113
63,Palermo,14, 1172
64,Palermo,14, 1175
65,Palermo,14, 1176
66,Palermo,14, 1177
67,Palermo,14, 1179
68,Palermo,14, 1180
69,Palermo,14, 1181
70,Palermo,14, 1182
71,Palermo,14, 1183
72,Palermo,14, 1186
73,Palermo,14, 1188
74,Palermo,14, 1404
75,Palermo,14, 1414
76,Palermo,14, 1416
77,Palermo,14, 1425
78,Palermo,14, 1426
79,Palermo,14, 1428
80,Palermo,14, 1429
81,Palermo,14, 1439
82,Agronomía,15,1417
83,Agronomía,15, 1419
84,Agronomía,15, 1427
85,Agronomía,15, 1431
86,Almagro,5,1172
87,Almagro,5, 1247
88,Balvanera,3,1020
89,Balvanera,3, 1022
90,Balvanera,3, 1025
91,Balvanera,3, 1026
92,Balvanera,3, 1027
93,Balvanera,3, 1028
94,Balvanera,3, 1029
95,Balvanera,3, 1030
96,Balvanera,3, 1031
97,Balvanera,3, 1032
98,Balvanera,3, 1033
99,Balvanera,3, 1034
100,Balvanera,3, 1036
101,Balvanera,3, 1039
102,Balvanera,3, 1040
103,Balvanera,3, 1044
104,Balvanera,3, 1045
105,Balvanera,3, 1046
106,Balvanera,3, 1051
107,Balvanera,3, 1052
108,Balvanera,3, 1056
109,Balvanera,3, 1079
110,Balvanera,3, 1080
111,Balvanera,3, 1081
112,Balvanera,3, 1083
113,Balvanera,3, 1089
114,Balvanera,3, 1090
115,Balvanera,3, 1091
116,Balvanera,3, 1094
117,Balvanera,3, 1096
118,Balvanera,3, 1098
119,Balvanera,3, 1170
120,Balvanera,3, 1171
121,Balvanera,3, 1172
122,Balvanera,3, 1173
123,Balvanera,3, 1174
124,Balvanera,3, 1179
125,Balvanera,3, 1180
126,Balvanera,3, 1181
127,Balvanera,3, 1183
128,Balvanera,3, 1186
129,Balvanera,3, 1187
130,Balvanera,3, 1189
131,Balvanera,3, 1190
132,Balvanera,3, 1191
133,Balvanera,3, 1193
134,Balvanera,3, 1194
135,Balvanera,3, 1196
136,Balvanera,3, 1197
137,Balvanera,3, 1198
138,Balvanera,3, 1201
139,Balvanera,3, 1203
140,Balvanera,3, 1204
141,Balvanera,3, 1207
142,Balvanera,3, 1209
143,Balvanera,3, 1210
144,Balvanera,3, 1211
145,Balvanera,3, 1212
146,Balvanera,3, 1213
147,Balvanera,3, 1214
148,Balvanera,3, 1215
149,Balvanera,3, 1219
150,Balvanera,3, 1222
151,Balvanera,3, 1223
152,Balvanera,3, 1225
153,Balvanera,3, 1227
154,Balvanera,3, 1229
155,Barracas,4,1066
156,Barracas,4, 1104
157,Barracas,4, 1110
158,Barracas,4, 1138
159,Barracas,4, 1139
160,Barracas,4, 1140
161,Barracas,4, 1141
162,Barracas,4, 1143
163,Barracas,4, 1152
164,Barracas,4, 1153
165,Barracas,4, 1164
166,Barracas,4, 1255
167,Barracas,4, 1260
168,Barracas,4, 1265
169,Barracas,4, 1267
170,Barracas,4, 1268
171,Barracas,4, 1269
172,Barracas,4, 1270
173,Barracas,4, 1271
174,Barracas,4, 1272
175,Barracas,4, 1273
176,Barracas,4, 1274
177,Barracas,4, 1275
178,Barracas,4, 1276
179,Barracas,4, 1277
180,Barracas,4, 1278
181,Barracas,4, 1279
182,Barracas,4, 1280
183,Barracas,4, 1281
184,Barracas,4, 1282
185,Barracas,4, 1283
186,Barracas,4, 1284
187,Barracas,4, 1285
188,Barracas,4, 1286
189,Barracas,4, 1287
190,Barracas,4, 1288
191,Barracas,4, 1289
192,Barracas,4, 1290
193,Barracas,4, 1291
194,Barracas,4, 1292
195,Barracas,4, 1293
196,Barracas,4, 1294
197,Barracas,4, 1295
198,Barracas,4, 1296
199,Barracas,4, 1425
200,Barracas,4, 1437
201,Belgrano,13,1424
202,Belgrano,13, 1425
203,Belgrano,13, 1426
204,Belgrano,13, 1428
205,Belgrano,13, 1429
206,Belgrano,13, 1430
207,Belgrano,13, 1468
208,La Boca,4,1063
209,La Boca,4, 1065
210,La Boca,4, 1155
211,La Boca,4, 1157
212,La Boca,4, 1158
213,La Boca,4, 1160
214,La Boca,4, 1161
215,La Boca,4, 1162
216,La Boca,4, 1163
217,La Boca,4, 1164
218,La Boca,4, 1165
219,La Boca,4, 1166
220,La Boca,4, 1167
221,La Boca,4, 1169
222,La Boca,4, 1185
223,La Boca,4, 1265
224,La Boca,4, 1266
225,Boedo,5,1218
226,Boedo,5, 1220
227,Boedo,5, 1221
228,Boedo,5, 1226
229,Boedo,5, 1228
230,Boedo,5, 1230
231,Boedo,5, 1231
232,Boedo,5, 1232
233,Boedo,5, 1233
234,Boedo,5, 1235
